Name,Symbol,CIK
3M Company,MMM,0000066740
Abbott Laboratories,ABT,0000001800
AbbVie Inc.,ABBV,0001551152
ABIOMED Inc,ABMD,0000815094
Accenture plc,ACN,0001467373
Activision Blizzard,ATVI,0000718877
Adobe Inc.,ADBE,0000796343
Advanced Micro Devices Inc,AMD,0000002488
Advance Auto Parts,AAP,0001158449
AES Corp,AES,0000874761
AFLAC Inc,AFL,0000004977
Agilent Technologies Inc,A,0001090872
Air Products & Chemicals Inc,APD,0000002969
Akamai Technologies Inc,AKAM,0001086222
Alaska Air Group Inc,ALK,0000766421
Albemarle Corp,ALB,0000915913
Alexandria Real Estate Equities,ARE,0001035443
Alexion Pharmaceuticals,ALXN,0000899866
Align Technology,ALGN,0001097149
Allegion,ALLE,0001579241
Alliant Energy Corp,LNT,0000352541
Allstate Corp,ALL,0000899051
Alphabet Inc. (Class A),GOOGL,0001652044
Alphabet Inc. (Class C),GOOG,0001652044
Altria Group Inc,MO,0000764180
Amazon.com Inc.,AMZN,0001018724
Amcor plc,AMCR,0001748790
Ameren Corp,AEE,0001002910
American Airlines Group,AAL,0000006201
American Electric Power,AEP,0000004904
American Express Co,AXP,0000004962
American International Group,AIG,0000005272
American Tower Corp.,AMT,0001053507
American Water Works Company Inc,AWK,0001410636
Ameriprise Financial,AMP,0000820027
AmerisourceBergen Corp,ABC,0001140859
AMETEK Inc.,AME,0001037868
Amgen Inc.,AMGN,0000318154
Amphenol Corp,APH,0000820313
"Analog Devices, Inc.",ADI,0000006281
ANSYS,ANSS,0001013462
Anthem,ANTM,0001156039
Aon plc,AON,0000315293
A.O. Smith Corp,AOS,0000091142
Apache Corporation,APA,0000006769
Apartment Investment & Management,AIV,0000922864
Apple Inc.,AAPL,0000320193
Applied Materials Inc.,AMAT,0000006951
Aptiv PLC,APTV,0001521332
Archer-Daniels-Midland Co,ADM,0000007084
Arista Networks,ANET,0001596532
Arthur J. Gallagher & Co.,AJG,0000354190
Assurant,AIZ,0001267238
AT&T Inc.,T,0000732717
Atmos Energy,ATO,0000731802
Autodesk Inc.,ADSK,0000769397
Automatic Data Processing,ADP,0000008670
AutoZone Inc,AZO,0000866787
AvalonBay Communities,AVB,0000915912
Avery Dennison Corp,AVY,0000008818
Baker Hughes Co,BKR,0001701605
Ball Corp,BLL,0000009389
Bank of America Corp,BAC,0000070858
The Bank of New York Mellon,BK,0001390777
Baxter International Inc.,BAX,0000010456
Becton Dickinson,BDX,0000010795
Berkshire Hathaway,BRK.B,0001067983
Best Buy Co. Inc.,BBY,0000764478
Bio-Rad Laboratories,BIO,0000012208
Biogen Inc.,BIIB,0000875045
BlackRock,BLK,0001364742
Boeing Company,BA,0000012927
Booking Holdings Inc,BKNG,0001075531
BorgWarner,BWA,0000908255
Boston Properties,BXP,0001037540
Boston Scientific,BSX,0000885725
Bristol-Myers Squibb,BMY,0000014272
Broadcom Inc.,AVGO,0001730168
Broadridge Financial Solutions,BR,0001383312
Brown-Forman Corp.,BF.B,0000014693
C. H. Robinson Worldwide,CHRW,0001043277
Cabot Oil & Gas,COG,0000858470
Cadence Design Systems,CDNS,0000813672
Campbell Soup,CPB,0000016732
Capital One Financial,COF,0000927628
Cardinal Health Inc.,CAH,0000721371
Carmax Inc,KMX,0001170010
Carnival Corp.,CCL,0000815097
Carrier Global,CARR,0001783180
Catalent,CTLT,0001596783
Caterpillar Inc.,CAT,0000018230
Cboe Global Markets,CBOE,0001374310
CBRE Group,CBRE,0001138118
CDW,CDW,0001402057
Celanese,CE,0001306830
Centene Corporation,CNC,0001071739
CenterPoint Energy,CNP,0001130310
Cerner,CERN,0000804753
CF Industries Holdings Inc,CF,0001324404
Charles Schwab Corporation,SCHW,0000316709
Charter Communications,CHTR,0001091667
Chevron Corp.,CVX,0000093410
Chipotle Mexican Grill,CMG,0001058090
Chubb Limited,CB,0000896159
Church & Dwight,CHD,0000313927
CIGNA Corp.,CI,0001739940
Cincinnati Financial,CINF,0000020286
Cintas Corporation,CTAS,0000723254
Cisco Systems,CSCO,0000858877
Citigroup Inc.,C,0000831001
Citizens Financial Group,CFG,0000759944
Citrix Systems,CTXS,0000877890
The Clorox Company,CLX,0000021076
CME Group Inc.,CME,0001156375
CMS Energy,CMS,0000811156
